Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-12,337.83551600000004,27.0,16.0,0.5925925925925926,22229.845925925925,600205.84,5.0,22.0,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-04,883.760812,37.0,12.0,0.32432432432432434,6072.016756756757,224664.62,6.0,31.0,60,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-08,0.0,36.0,0.0,0.0,8221.31,295967.16,35.0,1.0,66,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-09,0.0,2.0,0.0,0.0,15000.21,30000.42,2.0,0.0,72,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-10,0.0,4.0,0.0,0.0,24988.585000000003,99954.34000000001,4.0,0.0,74,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-11,0.0,2.0,0.0,0.0,20000.0,40000.0,2.0,0.0,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-12,754.7378000000001,17.0,6.0,0.35294117647058826,17691.249411764707,300751.24000000005,11.0,6.0,70,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-05,5319.8616250000005,23.0,16.0,0.6956521739130435,12059.708260869564,277373.29,0.0,23.0,90,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-07,1118.387284,10.0,4.0,0.4,10388.007999999998,103880.07999999999,10.0,0.0,82,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-08,0.0,13.0,0.0,0.0,8652.23,112478.98999999999,13.0,0.0,81,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-10,0.0,4.0,0.0,0.0,30002.25,120009.0,4.0,0.0,79,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-11,0.0,4.0,0.0,0.0,27498.585,109994.34,4.0,0.0,82,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-12,1467.100221,9.0,4.0,0.4444444444444444,31374.635555555553,282371.72,5.0,4.0,81,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-04,0.0,32.0,0.0,0.0,2999.6165625,95987.73,0.0,32.0,70,Greed
